Title,Created_date,Author,Url,Category
Reflections as a Senior: My Favorite Moments,04-12-2023,Mayoma Jolayemi '23,https://college.harvard.edu/student-life/student-stories/reflections-senior-my-favorite-moments,Pengalaman Pribadi
The Transformative Power of a Bachelor’s Degree,05-15-2023,Clive Walker,https://medium.com/the-university-avenue/the-transformative-power-of-a-bachelors-degree-9b9b056c373e,Pengalaman Pribadi
Managing stress in College Academics,05-11-2023,Vivek Rajak,https://medium.com/@vivek.rajak027/managing-stress-in-college-academics-5d295d8b349d,"Pengalaman Pribadi, Kesehatan Mental"
My college experience,05-07-2023,Laurent Etienne,https://medium.com/@1804madej/-a02ddb127535,Pengalaman Pribadi
Pengalaman Memulai Jualan Pisang,01-16-2021,"Masim ""Vavai"" Sugianto",https://vavai.medium.com/pengalaman-memulai-jualan-pisang-c4cf1af667c8,Pengalaman Pribadi
Things I regret when I was in college,04-07-2023,Ameer Muavia,https://medium.com/@ameermuaviaa116/things-i-regret-when-i-was-in-college-7e323868557a,Pengalaman Pribadi
How I Finally Figured Out What To Major In During College,03-05-2023,Nicole Kisslinger,https://medium.com/@nicolekisslinger/how-i-finally-figured-out-what-to-major-in-during-college-8c0e9a5241e,Pengalaman Pribadi
How College Students Can Use ChatGPT to 10x Productivity,01-26-2023,Tairique Davis,https://medium.com/@tdavis4616/how-college-students-can-use-chatgpt-to-10x-productivity-55d6bcaea977,Pengalaman Pribadi
Menjadi Programmer dalam 6 Bulan (Pengalaman Pribadi),06-16-2022,Edi Djunaidi,https://medium.com/@edijun.id/menjadi-programmer-dalam-6-bulan-pengalaman-pribadi-66f5c4f9da32,"Profesi, Pengalaman Pribadi"
4 ways to get high-paying writing work — don’t self-publish,02-11-2019,Kayla Lee,https://medium.com/writing-cooperative/4-ways-to-get-high-paying-writing-work-dont-self-publish-badfa6b07ae2,Kesehatan Mental
What Can I Do Without an Eating Disorder?,05-11-2023,Mary-Elizabeth Schurrer,https://www.healthyplace.com/blogs/survivinged/2023/5/what-can-i-do-without-an-eating-disorder,Kesehatan Mental
Gen Z Is More Aware of Mental Health Than Other Generations,05-10-2023,Mahevash Shaikh,https://www.healthyplace.com/blogs/mentalhealthforthedigitalgeneration/2023/5/gen-z-is-more-aware-of-mental-health-than-other-generations,Kesehatan Mental
Fighting the Stigma of Depression,05-03-2023,Rachel Craft,https://www.healthyplace.com/blogs/copingwithdepression/2023/5/fighting-the-stigma-of-depression,Kesehatan Mental
Other People’s Perceptions of Me Trigger Negative Thoughts,05-01-2023,Laura A. Barton,https://www.healthyplace.com/blogs/recoveringfrommentalillness/2023/5/other-peoples-perceptions-of-me-trigger-negative-thoughts,"Kesehatan Mental, Pengalaman Pribadi"
My Medication Throughout Treatment Changed,04-27-2023,Cherly Wozny,https://www.healthyplace.com/blogs/verbalabuseinrelationships/2023/4/my-medication-throughout-treatment-changed,"Kesehatan Mental, Pengalaman Pribadi"
How to Survive the Holidays with Anxiety and Depression,11-28-2023,Martha Lueck,https://www.healthyplace.com/blogs/toughtimes/2022/11/how-to-survive-the-holidays-with-anxiety-and-depression,Kesehatan Mental
"Is My Depression Back, or Is It My Period?",05-05-2020,Meghan Griffith,https://www.healthyplace.com/blogs/recoveringfrommentalillness/2020/5/is-my-depression-back-or-is-it-my-period,Kesehatan Mental
Anxiety and Bipolar: What It's Like to Have Both?,10-17-2018,Hannah Blum,https://www.healthyplace.com/living-with-bipolar-blog/2018/10/anxiety-and-bipolar-what-its-like-to-have-both,Kesehatan Mental
Self-Care in 30 Seconds or Less,03-31-2021,George Abitante,https://www.healthyplace.com/blogs/treatinganxiety/2021/3/self-care-in-30-seconds-or-less,Kesehatan Mental
Eating Disorder Treatments that Didn't Work for Me,10-20-2020,Hollay Ghadery,https://www.healthyplace.com/blogs/survivinged/2020/10/eating-disorder-treatments-that-didnt-work-for-me,"Kesehatan Mental, Pengalaman Pribadi"
Why Men Pull Away And Come Back,03-09-2023,Sabrina Bendory,https://thoughtcatalog.com/sabrina-bendory/2023/03/why-men-pull-away-and-come-back/,Percintaan
"I Know I Seem Skeptical, But I'm Just Learning To Love You",05-13-2023,Brittany Christopoulos,https://www.yourtango.com/love/know-i-seem-skeptical-but-just-learning-love-you,Percintaan
The Difference Between Being Unlucky In Love & Sabotaging Yourself With Negativity,05-12-2023,Orna and Matthew Walters ,https://www.yourtango.com/love/unlucky-in-love-or-sabotaging-negative-attitude,Percintaan
An Open Letter To The Love I Hope To Have,05-04-2023,Madison Flatman,https://www.yourtango.com/love/open-letter-to-love-i-hope-have,Percintaan
I Decided To Talk To People Who Have Been Single For 10 Years. Here's What Life Is Like For Them,05-02-2023,Ossiana Tepfenhart,https://www.yourtango.com/love/decided-talk-people-been-single-for-years,Percintaan
How To Get Out Of An Unhappy Marriage Without Getting Divorced,04-23-2023,Mary Ellen Goggin Jerry Duberstein ,https://www.yourtango.com/love/how-get-out-unhappy-marriage-without-getting-divorced,Percintaan
The Gift I Received From My Dead Husband Changed My Life Forever,04-21-2023,Amy Sue Nathan,https://www.yourtango.com/love/gift-received-from-my-dead-husband-changed-my-life,Percintaan
"A Letter To My Future Love, From Your Chronically Ill Partner",04-21-2023,Allysha Snow,https://www.yourtango.com/love/letter-my-future-love-from-your-chronically-ill-partner,Percintaan
"To All The Girls Looking For Love, Please Never Settle",04-19-2023,Natalie Trznadel,https://www.yourtango.com/love/to-all-girls-looking-love-please-never-settle,Percintaan
What I Learned From My 3 Deepest Romantic Connections,04-17-2023," Ruth Schimel, PhD",https://www.yourtango.com/love/lessons-from-my-romances-over-decades,Percintaan
"Mengapa Saya Meninggalkan Go-Jek, Unicorn Start up Indonesia",01-13-2023,Anggit Yuniar Pradito,https://medium.com/@anggit_pradito/mengapa-saya-meninggalkan-go-jek-indonesia-unicorn-start-up-17cb1313aff1,Profesi
Bagaimana Memulai Startup di Indonesia?,10-29-2017,Andrew Ryan Sinaga,https://medium.com/@andrewryann/bagaimana-memulai-startup-di-indonesia-df3e0256041c,Profesi
Bertransaksi Online Menggunakan Kartu Kredit Indonesia Sangatlah Aman,09-07-2015,Natali Ardianto,https://medium.com/@nataliardianto/bertransaksi-online-menggunakan-kartu-kredit-indonesia-sangatlah-aman-4da74b99f0f5,Pengalaman Pribadi
Ngomongin Cinta? Ini Opini!,03-19-2018,Hebbie Agus Kurnia,https://medium.com/no-drama/ngomongin-cinta-ini-opini-21d84eb5b93e,Percintaan
Surat Cinta,01-28-2017,Anggit Yuniar Pradito,https://medium.com/@anggit_pradito/surat-cinta-48912838b4c8,Percintaan
Rasanya Bekerja Dengan Depresi,12-20-2018,dhani,https://medium.com/@arman-dhani/rasanya-bekerja-setelah-depresi-72c912e822aa,Kesehatan Mental
I’m Bipolar,11-23-2017,Mary McGee (she/her),https://marymcgee8.medium.com/im-bipolar-8c3dba0af897,Kesehatan Mental
